Response ID,dob,gender,job_duration,industry,current_occupation,total_employees,household,Metro or Regional,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Connectivity ,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,q11,q12,q13,q14,q15,q16,q17,q18,Class
400,1985,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,One parent family with dependent children,Metro,4,4,6,2,10,3,4,5,No,Stayed about the same,Somewhat improved,Somewhat improved,Significantly worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Significantly worsened,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,more productivity
401,1975,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,Between 5 and 19,Couple with no dependent children,Metro,4,4,6,2,8,2,4,8,No,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Strongly agree,Strongly agree,Strongly agree,Yes,more productivity
402,1971,Male,More than 5 years,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,3,3,5,0.5,9,4.5,4,6,No,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Strongly agree,Strongly agree,Strongly agree,Yes,more productivity
403,1976,Female,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,2,4.5,8,0,8,2,6,8,Yes,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,same productivity
404,1959,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Couple with dependent children,Metro,3,4,7,1,7,4,5,7,Yes,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Somewhat agree,No,same productivity
405,1978,Male,Between 1 and 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Regional,2,4,6,4,8,2,4,6,Yes,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Somewhat agree,Yes,more productivity
406,1967,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,Between 20 and 199,Single person,Metro,4,1,8,2,10,3,2,7,No,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat disagree,Strongly disagree,Somewhat agree,No,more productivity
407,1976,Female,Between 1 and 5 years,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with no dependent children,Regional,2,2,7,0.5,11,2.5,3,7,No,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,more productivity
408,2000,Male,Between 6 and 12 months,Mining,"Technicians and trades workers - Engineering, ICT and Science Technicians",Between 20 and 199,One parent family with dependent children,Metro,5,5,5,5,4,5,5,5,Yes,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,more productivity
409,1991,Male,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,2,3,8,,10,3,3,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,Yes,more productivity
410,1998,Female,Between 1 and 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Regional,2,2.5,8,1,10,3,2,8,No,Not a barrier for me,Not a barrier for me,Somewhat improved,Not a barrier for me,Somewhat improved,Significantly improved,Somewhat worsened,Somewhat worsened,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Strongly agree,Somewhat agree,Somewhat agree,Yes,more productivity
411,1980,Male,More than 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,3,4,8,0,8,4,4,8,No,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,more productivity
412,1962,Female,More than 5 years,Education and Training,Professionals - Education Professionals,Between 20 and 199,One parent family with dependent children,Regional,2,2,10,1,8,2,3,10,Yes,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
413,1982,Female,More than 5 years,"Transport, Postal and Warehousing",Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,3,3,7,2,9,3,3,7,No,Stayed about the same,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Strongly agree,Strongly agree,Strongly agree,Yes,more productivity
414,1990,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,1,3,10,3,8,2,3,8,Yes,Significantly worsened,Significantly worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,more productivity
415,1999,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",More than 200,Couple with dependent children,Metro,3,2,6,0,9,3,6,6,No,Not a barrier for me,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,more productivity
416,1977,Female,Between 1 and 5 years,Education and Training,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,Couple with dependent children,Regional,3,3,8,0,8.5,4,3.5,8,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Somewhat disagree,Strongly agree,No,more productivity
417,1957,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,More than 200,Single person,Metro,2,2,10,0,8,2,1,13,Yes,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Strongly agree,Strongly agree,Strongly agree,No,more productivity
418,1972,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Couple with dependent children,Regional,1,3,7,0,12,1,3,8,No,Not a barrier for me,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat disagree,Strongly disagree,Strongly agree,Yes,less productivity
419,1960,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,Between 1 and 4,Couple with no dependent children,Regional,4,3,8,0,8,4,4,8,No,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Not a barrier for me,Somewhat improved,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Not a barrier for me,Somewhat improved,Not a barrier for me,Somewhat improved,Somewhat agree,Strongly agree,Neither agree nor disagree,No,more productivity
420,1978,Female,Between 1 and 5 years,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,Single person,Metro,0,8,7,1,8,0,8,7,No,Not a barrier for me,Stayed about the same,Significantly improved,Stayed about the same,Significantly improved,Significantly improved,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,more productivity
421,1986,Female,Between 6 and 12 months,Education and Training,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,3,4,8,1,9,2,4,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,more productivity
422,1985,Female,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Couple with no dependent children,Metro,1,4,10,1.5,8.5,2,2,10,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,same productivity
423,1980,Male,More than 5 years,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,3,3,8,2,8,3,3,8,No,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Strongly agree,Somewhat agree,Strongly agree,Yes,more productivity
424,1974,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,Between 20 and 199,Couple with dependent children,Metro,2,2,5,6,9,2,2,5,Yes,Not a barrier for me,Somewhat worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Not a barrier for me,Stayed about the same,Somewhat improved,Not a barrier for me,Somewhat worsened,Somewhat improved,Somewhat disagree,Somewhat disagree,Strongly agree,No,less productivity
425,1975,Male,Between 1 and 5 years,Construction,Technicians and trades workers - Construction Trades Workers,I am a sole trader/owner-operator,Couple with no dependent children,Regional,3,5,8,0,8,3,5,8,No,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
426,1970,Female,Between 1 and 5 years,Other Services,Professionals - Health Professionals,Between 5 and 19,Single person,Metro,3.5,4,8,0.5,7,4,4,8.5,No,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,more productivity
427,1993,Female,Between 6 and 12 months,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with no dependent children,Metro,,1,,2,2,,20,,No,Stayed about the same,Significantly worsened,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly worsened,Somewhat worsened,Significantly improved,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,same productivity
428,1976,Male,More than 5 years,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Couple with dependent children,Metro,3,3,6,0,10,3,3,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,same productivity
429,1999,Female,Between 6 and 12 months,Wholesale Trade,Machinery operators and drivers - Mobile Plant Operators,More than 200,One parent family with dependent children,Metro,5,3,3,3,6,3,5,7,Yes,Stayed about the same,Significantly worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat improved,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat improved,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,more productivity
430,1978,Male,More than 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,Single person,Metro,2,4.5,8,0,7.5,2,6.5,8,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Strongly disagree,No,more productivity
431,1985,Female,More than 5 years,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",More than 200,Couple with dependent children,Metro,2,4,7,0.5,8,3,5.5,7,No,Significantly improved,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Significantly worsened,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,more productivity
432,1971,Female,Between 1 and 5 years,Construction,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,One parent family with dependent children,Metro,3,2,8,6,3,3,5,7,No,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Strongly agree,Yes,more productivity
433,1982,Male,Between 1 and 5 years,"Transport, Postal and Warehousing",Machinery operators and drivers - Road and Rail Drivers,Between 20 and 199,Couple with no dependent children,Metro,1.5,6,10,0,6,1.5,6.5,10,No,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat improved,Not a barrier for me,Not a barrier for me,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
434,1972,Female,Between 1 and 5 years,Manufacturing,Clerical and administrative workers - Office Managers and Program Administrators,Between 5 and 19,Couple with dependent children,Metro,3,3,6,1,10,3,3,7,Yes,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat improved,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,more productivity
435,1991,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - Arts and Media Professionals,More than 200,Single person,Metro,1,5.5,9,0,7,2,6,9,No,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat disagree,Neither agree nor disagree,Strongly agree,No,less productivity
436,1977,Male,Between 1 and 5 years,Health Care and Social Assistance,Professionals - ICT Professionals,More than 200,Couple with dependent children,Metro,5,1,7,0,9,3,4,8,No,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat agree,Strongly agree,Neither agree nor disagree,No,more productivity
437,1981,Male,Between 6 and 12 months,Retail Trade,Technicians and trades workers - Food Trades Workers,Between 5 and 19,Couple with dependent children,Metro,5,5,3,5,1,5,5,8,Yes,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,more productivity
438,1982,Female,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Couple with dependent children,Metro,3,5,6,5,5,3,5,6,Yes,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Strongly agree,Strongly agree,Somewhat agree,Yes,more productivity
439,1986,Male,More than 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,3,3,8,0,10,4,2,8,No,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,Yes,more productivity
440,1990,Female,Between 6 and 12 months,Arts and Recreation,Machinery operators and drivers - Road and Rail Drivers,Between 5 and 19,Multiple family household,Metro,2,5,7,1,8,5,3,7,Yes,Somewhat worsened,Somewhat worsened,Significantly improved,Significantly improved,Significantly worsened,Significantly worsened,Significantly improved,Significantly worsened,Somewhat improved,Significantly improved,Somewhat worsened,Somewhat improved,Significantly worsened,Somewhat worsened,Significantly improved,Significantly improved,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Yes,less productivity
441,1990,Female,Between 6 and 12 months,Other Services,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,Couple with dependent children,Regional,4,3,10,0,7,4,3,10,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
442,1984,Male,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with no dependent children,Metro,4,3,4,3,4,5,5,7,Yes,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Significantly improved,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Somewhat worsened,Strongly agree,Strongly agree,Strongly agree,Yes,more productivity
443,1995,Female,Between 1 and 5 years,Retail Trade,Clerical and administrative workers - Clerical and Office Support Workers,Between 20 and 199,Other one family household,Metro,2,6,7,,7,3,6,8,Yes,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat agree,Somewhat disagree,Somewhat disagree,No,more productivity
444,1985,Male,Between 1 and 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Other one family household,Metro,4,2,6,2,10,3,4,5,No,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,more productivity
445,1991,Male,Between 1 and 5 years,Administrative and Support,Sales workers - Sales Representatives and Agents,More than 200,Single person,Metro,3,3,8,1,8,3,4,8,No,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Neither agree nor disagree,Somewhat disagree,Somewhat agree,No,less productivity
446,1983,Male,More than 5 years,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,4,2,8,1,8,4,4,7,Yes,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,more productivity
447,1980,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,Between 5 and 19,Couple with dependent children,Regional,4,4,7,1,6,6,4,7,No,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat improved,Not a barrier for me,Somewhat improved,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat agree,Strongly agree,Somewhat agree,Yes,same productivity
448,1996,Female,Between 1 and 5 years,Other Services,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,Couple with no dependent children,Metro,3,4,8,1,7,2,5,9,Yes,Somewhat improved,Significantly improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat agree,Neither agree nor disagree,Strongly agree,No,more productivity
449,1977,Male,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,More than 200,Couple with dependent children,Metro,3,5,6,0,10,3,5,6,Yes,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Strongly disagree,Yes,more productivity
450,1977,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,3,5,8,5,4,4,7,4,Yes,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Strongly agree,Strongly agree,Somewhat agree,Yes,more productivity
451,1982,Male,Between 1 and 5 years,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",Between 5 and 19,Couple with dependent children,Regional,3,5,7,0,5,5,7,7,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,same productivity
452,1957,Female,More than 5 years,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,Single person,Regional,,6,8,1,8,,7,8,No,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat disagree,Somewhat disagree,Somewhat agree,No,less productivity
453,1982,Male,More than 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,2,10,1,,,,24,,Yes,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Significantly worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat disagree,Strongly disagree,Somewhat disagree,Yes,more productivity
454,1983,Male,Between 1 and 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Regional,4,4,8,1,7,3,3,10,No,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
